Balance,Holder
{'Amount': '9889.951927088281846985'},{'Address': '0x4aa1a832c80de53ffd1811eacb29b879c94e555d'}
{'Amount': '9589.957591392565892368'},{'Address': '0x8da2931006453e0285682314af5bcd2377deaeb1'}
{'Amount': '9486.438393199825634212'},{'Address': '0x6597fc0c312c0476ab66da465a7c3741f96d05c5'}
{'Amount': '9434.477569191862998785'},{'Address': '0xab62d62dfd41da12275dcf49d4d581ad79e3fc26'}
{'Amount': '9187.697390776183161500'},{'Address': '0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea'}
{'Amount': '9064.641801371658454854'},{'Address': '0x4c9f7207be28278b9dca129f2e211acfff48fb01'}
{'Amount': '8892.772187453181997747'},{'Address': '0x5a3cfd128745be2e12225fb785ae6975ea3d0b35'}
{'Amount': '8681.189948610758618342'},{'Address': '0xc5a41fc9aa77036fed0d2a8ab9fe9787582d16db'}
{'Amount': '8633.499560660507690264'},{'Address': '0x57c415bd4c74a6602bd78ceece26524585bed01c'}
{'Amount': '8244.000000000000000000'},{'Address': '0x7833ba760d9fe0085e39c490f5a8c66565770ca5'}
{'Amount': '8117.073712068414357661'},{'Address': '0xccdd43c18b417f3ef046afc4bc773b70907ba2d3'}
{'Amount': '7858.513557813612327379'},{'Address': '0x338d192230e3df3bdf1a2b78ec116dfca18ce239'}
{'Amount': '7592.895840411665725686'},{'Address': '0x2c2320181c2226370c017deaf8976786dd0c8329'}
{'Amount': '7405.063887357381476923'},{'Address': '0xdebc61576f3b1b3a6f4f56adeddbfea49737d0f0'}
{'Amount': '7390.058178980800701850'},{'Address': '0xa4375b1f647d5fcd97a2e1514517c85e3740c8d9'}
{'Amount': '7245.117462767080344749'},{'Address': '0xf0bc8fddb1f358cef470d63f96ae65b1d7914953'}
{'Amount': '7134.546553561889960657'},{'Address': '0xf7b4a648dc756fc66794f09fc96aa656c69b64cc'}
{'Amount': '7086.385825093164445276'},{'Address': '0xaa806f0cc57e8c533c84c84fbf97ab3386efcfab'}
{'Amount': '6953.033298944918451869'},{'Address': '0xf6f62bab35907565c5ad3d4c1093b7f90762c021'}
{'Amount': '6921.247267164337686784'},{'Address': '0xaee146b0442e718d00dfe3bebb5bf0b91a11cbac'}
{'Amount': '6920.253805410882933967'},{'Address': '0x66e83b1fb56faf8172a3377cb49600643642edb8'}
{'Amount': '6786.135517475375144815'},{'Address': '0xa5fcde36a7a19a97619e8cd59fe5dc5a1b7a63a8'}
{'Amount': '6724.990766452733224687'},{'Address': '0x60500e4c0351e96ecf38a9cd0f923cfde042525e'}
{'Amount': '6631.508065932778461526'},{'Address': '0x0bfb6c3828751e9d9efdd3092c91cbea4af23809'}
{'Amount': '6517.842933858502688602'},{'Address': '0xa9d38210e5ae92a4d1b4b38402ae189d4c07bcd4'}
{'Amount': '6344.235617221253977502'},{'Address': '0xce5e9b932717f8c4da5b3d18e1426a01c4102f97'}
{'Amount': '6105.922565944580337266'},{'Address': '0x5d0f91dc177f4945c60af187198413b5ef06236e'}
{'Amount': '5926.994160000000000000'},{'Address': '0x1bd4e7be9bdd7249a185e4618122b66c3311338c'}
{'Amount': '5723.348016086539615559'},{'Address': '0x465bafac3c5c623a46a67c7a440a81d596da11a8'}
{'Amount': '5464.902875160958566912'},{'Address': '0x41c6ed59057efe7df4223741826ae5ddafadc4a1'}
{'Amount': '5248.746646023724212988'},{'Address': '0x8614117946175757341b497b688c0c0662838e8e'}
