proposal_id,end_date,token_id,unique_voters,unique_token_holders,voter_turnout_rate
0x0f8a85d90759acf3a6fdc018e20b991f3562847122a8142c4e166c71d0e755e3,2023-04-13,uniswap,6000,371872.6,0.016134557910424164
0xdc3e034f9b7c876736f1b629c7c9ff9c466205dfe075607d70e69b6af2fa87ef,2023-04-03,uniswap,6000,373817.93333333335,0.01605059432675693
0x63f6c44e4245e5b90a0f30ebb6932506879f68b149a5f78fd2186125c9144535,2023-03-29,uniswap,6000,373888.22580645164,0.016047576751202598
0xbab5cd9d9cc5123ea5da8eb45e321463f1a0fd2543dc17587db1f24099d90dfc,2023-03-12,uniswap,4934,372081.8387096774,0.013260523591020602
0xa47404722b9c8a6fb850cf5de79e8a95f073f06393290949644a627bfe85bced,2023-03-09,uniswap,6000,371763.06451612903,0.01613931176247792
0xbadf3b39b681c98ba8fb988d5b6c9454ebeb5aae88545a6a852d0734e9f7c957,2023-03-03,uniswap,6000,371125.51612903224,0.01616703713229443
0x3447c5c95e70304122194efb2874757059f0851cc7449e58682f48a25e4ce7ba,2023-02-22,uniswap,6000,370257.0,0.01620496033835957
0x9db793de052692853aa3749920e1c7161de0eead4730c3fef516bc11eb829879,2023-02-22,uniswap,5723,370257.0,0.015456831336071971
0x374d7f9ba673e65d6a85c3cfcc082fd3ad22ca5d8f9f44ac14e1d67154640d90,2023-02-16,uniswap,6000,369694.71428571426,0.01622960720872782
0x15031b68121659b87a3f5e33c303cd517bcbc003d3f60fc82f1299620475bcab,2023-02-07,uniswap,6000,368851.28571428574,0.016266718410323323
0x6b8df360fdf73085b21fdf5eef9f85916fbde95621a3d454cb20fbe545ffc852,2023-01-31,uniswap,6000,368170.67741935485,0.016296789418582248
0xa3c7247632d3a08e4e73a63867908d0cd4402f48fa673945f93e3197dee5450a,2023-01-22,uniswap,6000,367105.77419354836,0.0163440632694506
0xfd3d3807bd2a6eda1327c311b83de235061d39ff1bdfb616c9f9b0d367c3ac2c,2023-01-13,uniswap,6000,366040.87096774194,0.01639161218291594
0x8cd74072d4ae997c11fe5351c3a8c3fcd05440091858c1ced911bb2e9043c3bb,2023-01-13,uniswap,5563,366040.87096774194,0.015197756428926896
0x387b5e811e9673359b98729af5c7f14a50b7d0ea9b4dcf9278686b238932e25d,2022-12-21,uniswap,6000,361147.48387096776,0.016613711206537728
0x5ad7208d9ccad93dbc96abc12bfeffcfe83e96b9782e5135727cdaaf494d70f3,2022-12-04,uniswap,6000,355779.32258064515,0.01686438648676658
0x31c3409c09f5561d6aff1e0adeee6c83a5e73768a5d5c3e01b2a48a3894eda54,2022-12-03,uniswap,6000,355463.5483870968,0.016879367876747944
0xa4a21c808b28a61562c6b4ebf5b71c0cd37ee2d630bcbdf91ffaf5f683cc650f,2022-11-29,uniswap,5238,353223.73333333334,0.014829128129555658
0xe523d31000db5ecb16b002efd2ee984b958928b01cee140212eefc3ed5bcdfcd,2022-11-24,uniswap,3514,349203.06666666665,0.01006291277319825
0x5387b0756442268d283d4ac7f3f4bc4cc0204c5e47b9708e5128fcbdea2d0cd1,2022-11-17,uniswap,3756,343574.13333333336,0.010932138469097012
0x255d43357e17858f8664ffaaeaf7660bfd8be5f7dabc414edf98d3fadb3f1588,2022-10-17,uniswap,3025,328196.22580645164,0.009217046882751006
0x8db45283c71ed4f72e5834212a10963b1b4a53527a175472ba8cc4ecdeebc6a2,2022-10-17,uniswap,3071,328196.22580645164,0.009357206934521764
0xe6ad2033b04559b3db6be7fa9993f05ee68f43f1061c632382c88e367e76bfb1,2022-09-24,uniswap,3807,324558.23333333334,0.011729790247194468
0xab1dbb6e3486073b81cc64b81d15d24a7bf82efcfc94e533de0779250df06ba9,2022-09-16,uniswap,2457,323462.5,0.007595934613749662
0x2f72d9f247d9ce143809bbb4af7f5b36aa50895e517cc32096b15b18b40e3191,2022-09-23,uniswap,3045,324421.26666666666,0.009385944489048087
