id,name,date,cumulative_proposals
aave,Aave,2023-07-14,364
aave,Aave,2023-07-15,365
aave,Aave,2023-07-16,367
aave,Aave,2023-07-20,368
aave,Aave,2023-07-23,369
aave,Aave,2023-07-28,373
aave,Aave,2023-07-30,375
aave,Aave,2023-07-31,376
aave,Aave,2023-08-03,379
aave,Aave,2023-08-10,380
aave,Aave,2023-08-11,381
aave,Aave,2023-08-17,382
aave,Aave,2023-08-18,386
aave,Aave,2023-08-19,387
aave,Aave,2023-08-20,388
aave,Aave,2023-08-25,390
aave,Aave,2023-08-26,392
aave,Aave,2023-09-01,394
aave,Aave,2023-09-02,395
aave,Aave,2023-09-03,397
aave,Aave,2023-09-07,402
aave,Aave,2023-09-11,403
aave,Aave,2023-09-15,404
aave,Aave,2023-09-16,408
aave,Aave,2023-09-17,409
aave,Aave,2023-09-19,412
aave,Aave,2023-09-21,415
aave,Aave,2023-09-22,416
aave,Aave,2023-09-25,419
aave,Aave,2023-09-26,421
aave,Aave,2023-09-27,422
aave,Aave,2023-09-29,426
aave,Aave,2023-09-30,427
aave,Aave,2023-10-03,428
aave,Aave,2023-10-04,429
aave,Aave,2023-10-06,431
aave,Aave,2023-10-08,432
aave,Aave,2023-10-10,433
aave,Aave,2023-10-14,435
aave,Aave,2023-10-15,436
aave,Aave,2023-10-16,437
aave,Aave,2023-10-19,439
aave,Aave,2023-10-20,442
aave,Aave,2023-10-23,445
aave,Aave,2023-10-26,446
aave,Aave,2023-11-03,448
aave,Aave,2023-11-05,449
aave,Aave,2023-11-06,450
aave,Aave,2023-11-08,451
aave,Aave,2023-11-10,453
aave,Aave,2023-11-11,460
aave,Aave,2023-11-12,461
aave,Aave,2023-11-14,462
aave,Aave,2023-11-17,465
aave,Aave,2023-11-18,466
aave,Aave,2023-11-20,467
aave,Aave,2023-11-21,468
aave,Aave,2023-11-24,472
aave,Aave,2023-12-01,479
aave,Aave,2023-12-03,480
aave,Aave,2023-12-06,481
aave,Aave,2023-12-08,482
aave,Aave,2023-12-09,483
aave,Aave,2023-12-10,485
aave,Aave,2023-12-11,486
aave,Aave,2023-12-12,488
aave,Aave,2023-12-14,489
aave,Aave,2023-12-17,490
aave,Aave,2023-12-22,492
aave,Aave,2024-01-07,493
aave,Aave,2024-01-11,496
aave,Aave,2024-01-12,497
aave,Aave,2024-01-13,499
aave,Aave,2024-01-14,500
aave,Aave,2024-01-16,503
aave,Aave,2024-01-19,505
aave,Aave,2024-01-20,507
aave,Aave,2024-01-21,508
aave,Aave,2024-01-22,509
aave,Aave,2024-01-23,510
aave,Aave,2024-01-24,511
aave,Aave,2024-01-26,512
aave,Aave,2024-01-27,513
aave,Aave,2024-01-28,517
aave,Aave,2024-01-29,518
aave,Aave,2024-01-30,519
aave,Aave,2024-02-02,522
aave,Aave,2024-02-03,523
aave,Aave,2024-02-04,524
aave,Aave,2024-02-09,531
aave,Aave,2024-02-10,532
aave,Aave,2024-02-11,533
aave,Aave,2024-02-16,536
aave,Aave,2024-02-17,537
aave,Aave,2024-02-18,539
aave,Aave,2024-02-23,541
aave,Aave,2024-02-24,542
aave,Aave,2024-02-25,544
aave,Aave,2024-02-26,546
aave,Aave,2024-02-27,547
aave,Aave,2024-02-29,548
aave,Aave,2024-03-04,550
aave,Aave,2024-03-08,553
aave,Aave,2024-03-10,555
aave,Aave,2024-03-11,557
aave,Aave,2024-03-14,558
aave,Aave,2024-03-15,563
aave,Aave,2024-03-17,565
aave,Aave,2024-03-19,568
aave,Aave,2024-03-20,569
aave,Aave,2024-03-22,573
aave,Aave,2024-03-25,574
aave,Aave,2024-03-29,576
aave,Aave,2024-03-30,577
aave,Aave,2024-04-05,578
aave,Aave,2024-04-06,580
aave,Aave,2024-04-07,582
aave,Aave,2024-04-12,585
aave,Aave,2024-04-13,586
aave,Aave,2024-04-14,587
aave,Aave,2024-04-19,589
aave,Aave,2024-04-20,590
aave,Aave,2024-04-21,591
aave,Aave,2024-04-22,592
aave,Aave,2024-04-23,593
aave,Aave,2024-04-26,595
aave,Aave,2024-04-27,596
aave,Aave,2024-04-28,597
aave,Aave,2024-04-29,598
aave,Aave,2024-04-30,599
aave,Aave,2024-05-02,601
aave,Aave,2024-05-04,602
aave,Aave,2024-05-06,604
aave,Aave,2024-05-10,608
aave,Aave,2024-05-11,609
aave,Aave,2024-05-12,610
aave,Aave,2024-05-14,611
aave,Aave,2024-05-18,613
aave,Aave,2024-05-19,614
aave,Aave,2024-05-20,615
aave,Aave,2024-05-21,616
aave,Aave,2024-05-23,618
aave,Aave,2024-05-24,620
aave,Aave,2024-05-31,621
aave,Aave,2024-06-01,623
aave,Aave,2024-06-02,624
aave,Aave,2024-06-03,626
aave,Aave,2024-06-05,627
aave,Aave,2024-06-07,629
aave,Aave,2024-06-14,632
aave,Aave,2024-06-15,634
aave,Aave,2024-06-21,638
aave,Aave,2024-06-23,639
aave,Aave,2024-06-24,640
aave,Aave,2024-07-05,644
aave,Aave,2024-07-06,645
aave,Aave,2024-07-07,647
aave,Aave,2024-07-12,648
