name,symbol,id,address
Onyxcoin,xcn,chain-2,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18
Evmos,evmos,evmos,0x93581991f68dbae1ea105233b67f7fa0d6bdee7b
Serum,srm,serum,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff
Reserve Rights,rsr,reserve-rights-token,0x320623b8e4ff03373931769a31fc52a4e78b5d70
Polymath,poly,polymath,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec
Merit Circle,mc,merit-circle,0x949d48eca67b17269629c7194f4b727d4ef9e5d6
Bitgert,brise,bitrise-token,0xf2b2f7b47715256ce4ea43363a867fdce9353e3a
Humans.ai,heart,humans-ai,0x8fac8031e079f409135766c7d5de29cf22ef897c
Keep Network,keep,keep-network,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec
API3,api3,api3,0x0b38210ea11411557c13457d4da7dc6ea731b88a
Ultra,uos,ultra,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c
Alchemix USD,alusd,alchemix-usd,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9
CoinEx,cet,coinex-token,0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f
STASIS EURO,eurs,stasis-eurs,0xdb25f211ab05b1c97d595516f45794528a807ad8
Nest Protocol,nest,nest,0xcd6926193308d3b371fdd6a6219067e550000000
XT.com,xt,xtcom-token,0x4be10da47a07716af28ad199fbe020501bddd7af
Renzo Restaked ETH,ezeth,renzo-restaked-eth,0xbf5495efe5db9ce00f80364c8b423567e58d2110
Wrapped eETH,weeth,wrapped-eeth,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee
Ethena,ena,ethena,0x57e114b691db790c35207b2e685d4a43181e6061
ether.fi Staked ETH,eeth,ether-fi-staked-eth,0x35fa164735182de50811e8e2e824cfb9b6118ac2
Wormhole,w,wormhole,0xb0ffa8000886e57f86dd5264b9582b2ad87b2b91
Kelp DAO Restaked ETH,rseth,kelp-dao-restaked-eth,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7
Safe,safe,safe,0x5afe3855358e112b5647b952709e6165e1c1eeee
DeXe,dexe,dexe,0xde4ee8057785a7e8e800db58f9784845a5c2cbd6
AIOZ Network,aioz,aioz-network,0x626e8036deb333b408be468f951bdb42433cbf18
MANTRA,om,mantra-dao,0x3593d125a4f7849a1b059e64f4517a86dd60c95d
Ether.fi,ethfi,ether-fi,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb
Xido Finance,xido,xido-finance,0xf6650117017ffd48b725b4ec5a00b414097108a7
PlayDapp,pda,playdapp,0x0d3cbed3f69ee050668adf3d9ea57241cba33a2b
Moonchain,mxc,mxc,0x5ca381bbfb58f0092df149bd3d243b08b9a8386e
Coinmetro,xcm,coinmetro,0x36ac219f90f5a6a3c77f2a7b660e3cc701f68e25
CEEK Smart VR,ceek,ceek,0xb056c38f6b7dc4064367403e26424cd2c60655e1
Kyber Network Crystal,knc,kyber-network-crystal,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202
Everscale,ever,everscale,0x1ffefd8036409cb6d652bd610de465933b226917
VVS Finance,vvs,vvs-finance,0x839e71613f9aa06e5701cf6de63e303616b0dde3
LooksRare,looks,looksrare,0xf4d2888d29d722226fafa5d9b24f9164c092421e
SSV Network,ssv,ssv-network,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54
Astrafer,astrafer,astrafer,0xb51b97dd5569fab69495316b5a065cccff4b829d
Blox,cdt,blox,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af
Status,snt,status,0x744d70fdbe2ba4cf95131626614a1763df805b9e
Pixels,pixel,pixels,0x3429d03c6f7521aec737a0bbf2e5ddcef2c3ae31
Portal,portal,portal-2,0x1bbe973bef3a977fc51cbed703e8ffdefe001fed
PayPal USD,pyusd,paypal-usd,0x6c3ea9036406852006290770bedfcaba0e23a0e8
VGX Token,vgx,ethos,0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d
Radio Caca,raca,radio-caca,0x12bb890508c125661e03b09ec06e404bc9289040
Cratos,crts,cratos,0x678e840c640f619e17848045d23072844224dd37
Memecoin,meme,memecoin-2,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74
Pendle,pendle,pendle,0x808507121b80c02388fad14726482e061b8da827
LayerZero,zro,layerzero,0x6985884c4392d348587b19cb9eaaf157f13271cd
Aevo,aevo,aevo-exchange,0xb528edbef013aff855ac3c50b381f253af13b997
MAGA,trump,maga,0x576e2bed8f7b46d34016198911cdf9886f78bea7
PepeCoin,pepecoin,pepecoin-2,0xa9e8acf069c58aec8825542845fd754e41a9489a
Mog Coin,mog,mog-coin,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a
Turbo,turbo,turbo,0xa35923162c49cf95e6bf26623385eb431ad920d3
Pundi X,pundix,pundi-x-2,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38
Index Cooperative,index,index-cooperative,0x0954906da0bf32d5479e25f46056d22f08464cab
Spectra,apw,apwine,0x4104b135dbc9609fc1a9490e61369036497660c8
