Balance,Holder
{'Amount': '73360.379158170000000000'},{'Address': '0x21a31ee1afc51d94c2efccaa2092ad1028285549'}
{'Amount': '72886.300000000000000000'},{'Address': '0x6bb8e1c775672a92f34b89abe0362e89cd616d1d'}
{'Amount': '72190.996472322785953968'},{'Address': '0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b'}
{'Amount': '69311.853169239570000000'},{'Address': '0x4a65e76be1b4e8dd6ef618277fa55200e3f8f20a'}
{'Amount': '67137.000000000000000000'},{'Address': '0x8d6f396d210d385033b348bcae9e4f9ea4e045bd'}
{'Amount': '66438.849298721279688100'},{'Address': '0x626af9d4f2bbabf5161a466996bf1a0eb8e4498d'}
{'Amount': '66438.849298721279688100'},{'Address': '0xd01ce364c68a5ad7f85ac4fc3246e577a00442cd'}
{'Amount': '66438.849298721279688100'},{'Address': '0xd74bcb044b7c6747fed01d8a3527d5bc356d51d9'}
{'Amount': '63811.136331797823820248'},{'Address': '0x856119967f81b7335048db3b4afe3d05effd0f9e'}
{'Amount': '63746.590717584560286050'},{'Address': '0xf0d1ea509f19836907c5324fd8c19ed7943097eb'}
{'Amount': '63604.756990000000000000'},{'Address': '0x967159c42568a54d11a4761fc86a6089ed42b7ba'}
{'Amount': '63314.910768315013439827'},{'Address': '0x788c0d59aee802ee615b3db138215862247f5960'}
{'Amount': '63137.000000000000000000'},{'Address': '0xc1bf8f2acc5d5824974ce4c90a8438421150f753'}
{'Amount': '62980.502978751366884721'},{'Address': '0x49ff149d649769033d43783e7456f626862cd160'}
{'Amount': '62587.193148438416992871'},{'Address': '0x97ff8a30118bbd80c219bf1f8d5ae8c6a71a1dcf'}
{'Amount': '62500.000000000000000000'},{'Address': '0x42967fe8f5a4fc9afb31558378b77d61cb8ce56a'}
{'Amount': '62301.654145546758291688'},{'Address': '0xc75159987ab5bba7df82684aad12af3123a5f667'}
{'Amount': '62207.719100000000000000'},{'Address': '0x3744da57184575064838bbc87a0fc791f5e39ea2'}
{'Amount': '57133.057670979085150010'},{'Address': '0x876eabf441b2ee5b5b0554fd502a8e0600950cfa'}
{'Amount': '55272.997259340320712680'},{'Address': '0x39d787fdf7384597c7208644dbb6fda1cca4ebdf'}
{'Amount': '54421.770000000000000000'},{'Address': '0x8226d171102003dd053f28b5193b330cbbec5e80'}
{'Amount': '52500.000000000000000000'},{'Address': '0x6e33b41e44ca2be27e8f65b5231ae61a21044b4a'}
{'Amount': '50000.000000000000000000'},{'Address': '0xdceacfdc8679cc3223541e840a38627e8d2d9fed'}
{'Amount': '50000.000000000000000000'},{'Address': '0xd3238d8be92fd856146f53a8b6582bc88e887559'}
{'Amount': '50000.000000000000000000'},{'Address': '0x0a29500ccc6af0b11c72d4e171d925eb0bb7ee15'}
{'Amount': '50000.000000000000000000'},{'Address': '0xf1f7c71cb81ceba1dc5fd659eeb144301df0dbb4'}
{'Amount': '50000.000000000000000000'},{'Address': '0xf96cd1cf416b50b60358a17bc8593060148de422'}
{'Amount': '50000.000000000000000000'},{'Address': '0x0b177b7f10faeadd6eee6d2cc46d783f460566c8'}
{'Amount': '50000.000000000000000000'},{'Address': '0xbe0eb53f46cd790cd13851d5eff43d12404d33e8'}
{'Amount': '47866.670000000000000000'},{'Address': '0x1cbad69d9cc22962a0a885921518c06ed2f04ffd'}
{'Amount': '47157.184915492894666549'},{'Address': '0x2da40d78e7b3af22bbd672a8f3146682faec9641'}
{'Amount': '46766.000000000000000000'},{'Address': '0x6d5dda04760f0515dc131ff4df76a5188ffcdfcb'}
{'Amount': '45000.000000000000000000'},{'Address': '0xdea0d77a9b02020acf075074881f370a31009982'}
{'Amount': '43163.860000000000000000'},{'Address': '0x10aa978d5fb68dc134a4843756257e67c523a402'}
{'Amount': '42265.967521699539433300'},{'Address': '0x1157a2076b9bb22a85cc2c162f20fab3898f4101'}
{'Amount': '39034.707962865528803474'},{'Address': '0xe2c91f3409ad6d8ce3a2e2eb330790398cb23597'}
{'Amount': '36691.786925334649578112'},{'Address': '0x97960149fc611508748de01202974d372a677632'}
{'Amount': '36598.984048624019091500'},{'Address': '0x2f93524b327100fba3dc685204f94c7a86c28a8b'}
{'Amount': '35578.338281886427286972'},{'Address': '0xe867be952ee17d2d294f2de62b13b9f4af521e9a'}
{'Amount': '33489.495527970000000000'},{'Address': '0x59e0cda5922efba00a57794faf09bf6252d64126'}
{'Amount': '33000.720000000000000000'},{'Address': '0xe69e091fbb8031b17d5f3f106bed2213ba3d860c'}
{'Amount': '30386.234321737661454519'},{'Address': '0x44751213b4800dd3e70f299a167fdf25bfceb665'}
{'Amount': '30127.861055720138628994'},{'Address': '0x9acbb72cf67103a30333a32cd203459c6a9c3311'}
{'Amount': '29909.057955754885000000'},{'Address': '0x4f76ff660dc5e37b098de28e6ec32978e4b5beb6'}
{'Amount': '29782.378521210000000000'},{'Address': '0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98'}
{'Amount': '29564.640000000000000000'},{'Address': '0x8906da6bc78f5e4b2a8bbdcf0ff7b5a7c52ea0d4'}
{'Amount': '27668.144995381228451010'},{'Address': '0x4f2331009166597a3bf44bee7380ac0580646c19'}
{'Amount': '26974.183780000000000000'},{'Address': '0x742d35cc6634c0532925a3b844bc454e4438f44e'}
{'Amount': '26800.000000000000000000'},{'Address': '0xd6e96e437b8d42406a64440226b77a51c74e26b1'}
{'Amount': '26218.111046672724574654'},{'Address': '0x3dba737ccc50a32a1764b493285dd51c8af6c278'}
{'Amount': '25928.002360875235837268'},{'Address': '0x1d5e62171e052419a2f682c6f465f9357d69f39f'}
{'Amount': '25624.623189413089351879'},{'Address': '0x92f8fd976590b40da4f75f658daff6967c1e3741'}
{'Amount': '25590.258378306703674886'},{'Address': '0x79169e7818968cd0c6dbd8929f24d797cc1af9a1'}
{'Amount': '24197.377461192258733422'},{'Address': '0x6531cd56a27cedf3e4e0de6410ccb8cae529dac6'}
{'Amount': '23395.850333329888042111'},{'Address': '0xb618f903ad1d00d6f7b92f5b0954dcdc056fc533'}
{'Amount': '22159.435740181751393481'},{'Address': '0xcf8bcac27f0b7a32fd9ec07b81cd2cf4d14e32a1'}
{'Amount': '21402.762672995251753295'},{'Address': '0x5db5a82d59e30aa3d077727ddad04e1d3a6714f0'}
{'Amount': '21288.690946289987645501'},{'Address': '0x941b4fdb4b1533ab2cc8b90ff0700f658b4aa642'}
{'Amount': '20512.830000000000000000'},{'Address': '0xb04ce132d00e21c6bf4d8ec9ffbd24d1f9384b83'}
{'Amount': '20162.280813123733818580'},{'Address': '0xbb19053e031d9b2b364351b21a8ed3568b21399b'}
{'Amount': '20141.920909159296501545'},{'Address': '0x4a03aa7fb3973d8f0221b466eefb53d0ac195f55'}
{'Amount': '20000.000000000000000000'},{'Address': '0xde9e8c5201d7f6d779f5609ec08c896772330148'}
{'Amount': '19486.089712902955964573'},{'Address': '0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91'}
{'Amount': '19245.092031907615575183'},{'Address': '0x94278cbc4cb0c15ad23084502db7e6154eaf9b0d'}
{'Amount': '19032.957274000000000000'},{'Address': '0x8ecade7f6c5e2996a455fd73661f171301a3c2d6'}
{'Amount': '18741.632157648260184834'},{'Address': '0xaa857ddce7b5b9cb17296c790cb40e8c11a3d4f0'}
{'Amount': '18634.706659153440431017'},{'Address': '0x4281e53938c3b1c1d3e8afd21c02ce8512cdbc93'}
{'Amount': '17820.863668202176179752'},{'Address': '0xae2113de1cd10c5d626e902760638a4f5ae53d7a'}
{'Amount': '17449.651096954272812322'},{'Address': '0x10780f38d60c2ff38137ff17d114b453cd460bf4'}
{'Amount': '17051.971701726724549603'},{'Address': '0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8'}
{'Amount': '16988.930000000000000000'},{'Address': '0xdf765597c73bf78664e21634c99206ae3ff560d1'}
{'Amount': '16910.909846200755651671'},{'Address': '0x0000006daea1723962647b7e189d311d757fb793'}
{'Amount': '16851.200472892635162127'},{'Address': '0x95b564f3b3bae3f206aa418667ba000afafacc8a'}
{'Amount': '16667.000000000000000000'},{'Address': '0x82a4697a45037c4ae1babd7af6c6d04254e4085a'}
{'Amount': '16667.000000000000000000'},{'Address': '0xb370b2b6a9c4ce5c6860204758e889956cf80890'}
{'Amount': '16131.408275849289922646'},{'Address': '0xfbde07329ffc9ec1b70f639ad388b94532b5e063'}
{'Amount': '15996.000000000000000000'},{'Address': '0xe2cde2af8d4c80028ae03f2abc3d0cbd4ffefe08'}
{'Amount': '15616.440000000000000000'},{'Address': '0xa802704860ed515a6784a650bc15ad7d630d818d'}
{'Amount': '15212.257639378868423800'},{'Address': '0x3a3ee61f7c6e1994a2001762250a5e17b2061b6d'}
{'Amount': '15140.364826280000000000'},{'Address': '0xa97e52b529860f3a539abdf44d6f45f4bebd5008'}
{'Amount': '14648.767151366884099172'},{'Address': '0x4faa6b0a322766bc1dc32b2775541f9424daf782'}
{'Amount': '14140.200000000000000000'},{'Address': '0xa929022c9107643515f5c777ce9a910f0d1e490c'}
{'Amount': '13749.749726661353681863'},{'Address': '0xa70d458a4d9bc0e6571565faee18a48da5c0d593'}
{'Amount': '13424.660000000000000000'},{'Address': '0x829f5b50a83e26ee2dbcf536f49eece5966d096c'}
{'Amount': '13364.482288585933640255'},{'Address': '0x0dd33f4850b4a39ad88c8726fe9c41fab8e2479f'}
{'Amount': '12968.484528207695217386'},{'Address': '0x1fbf5955b35728e650b56ef48ee9f3bd020164c8'}
