Balance,Holder
{'Amount': '4366.637146179069450923'},{'Address': '0x65013c3379b3da439d3c9cedfec6354c71bc3051'}
{'Amount': '4351.770258278849097179'},{'Address': '0xe1aaa2c11174590bf97a221f51d2ae622d980b19'}
{'Amount': '4225.450000000000000000'},{'Address': '0x8e4637e0ee1c6638731569c380c8a42cfb785337'}
{'Amount': '4022.136682792722390627'},{'Address': '0x9bfba640006bd76851cae389a93461b28fef54d1'}
{'Amount': '3957.996575342500813302'},{'Address': '0x076924c052b7a3112bee8658a8c3e19d69361df2'}
{'Amount': '3914.959098640227511583'},{'Address': '0xb8e00ef5b082660f18cb95a6b668fa102455689c'}
{'Amount': '3853.742573040130336937'},{'Address': '0xad9abbb3fe136a2e537598aaf2e6b3ed804cba57'}
{'Amount': '3834.377592574217245091'},{'Address': '0x4b98c19d040f7296786d9d2b0cdbcc6b48adebda'}
{'Amount': '3834.072830506364575130'},{'Address': '0x5f82c97e9b1755237692a946ae814998bc0e2124'}
{'Amount': '3793.538288084882044516'},{'Address': '0xc8869c123bab5abf71953d75332191f19dd669da'}
{'Amount': '3622.673604397905017453'},{'Address': '0x0d226b6c9836b7937cb92b535a479132a95b2bec'}
{'Amount': '3574.423271593194698772'},{'Address': '0x7ef1b4d0d7bfef10d66a82e2a7c30639d40d1326'}
{'Amount': '3423.920526123046928384'},{'Address': '0x8fb20c72139b2a971ab814503d61111349f8cc78'}
{'Amount': '3422.149342478688582290'},{'Address': '0x9c9d06c7378909c6d0a2a0017bb409f7fb8004e0'}
{'Amount': '3356.311542973517661219'},{'Address': '0x6c8df45bc51b5a0dbdb14b8c9625f7307365419f'}
{'Amount': '3352.070821962689897087'},{'Address': '0xaa15ab8fea0ae32ee23f3e74ae5aba1ac125f349'}
{'Amount': '3266.637104762863893868'},{'Address': '0x537c07b610e31e671065771ad2af4ea412043460'}
{'Amount': '3151.306951904296960000'},{'Address': '0x2061530bdd693b359761b378b05e1d55abf98c32'}
{'Amount': '3137.054662123669044389'},{'Address': '0xb0b0d8d672f14492eafda5854089708e0fe223ac'}
{'Amount': '3128.389932120509955149'},{'Address': '0x4082f31be15209eee22595c9597942f142045eb8'}
{'Amount': '3101.991190979989952767'},{'Address': '0xf844b0afad2217d2b54f6b3ce8119b5667702f68'}
{'Amount': '3093.000000000000000000'},{'Address': '0xdc78e041fd21d5644fcb0dcf61281f3d6a48aff4'}
{'Amount': '3064.288067671760250736'},{'Address': '0xc6dcf8846d6da3791718cc924f63f0380db8a1ba'}
{'Amount': '3026.110325043059070328'},{'Address': '0x8776ba94a2ae4f1a1c388b7a3389828bf37856b9'}
{'Amount': '3000.096678097593444546'},{'Address': '0x7375a356f5948657bf1dbf412b6b0202d822ff0c'}
{'Amount': '2955.004551890482694258'},{'Address': '0x499f39d4861f214808376c890aa7cf6e424fb05b'}
{'Amount': '2946.252746582027927552'},{'Address': '0x4eacf42d898b977973f1fd8448f6035dc44ce4d0'}
{'Amount': '2941.731459571512271264'},{'Address': '0x36b3e8dde986305ad9e2d0a96a6e45aeedc709cf'}
{'Amount': '2866.824004303539081688'},{'Address': '0x291c245fd1e5ecada53166165838ad19da79a881'}
{'Amount': '2804.375338035706315964'},{'Address': '0x5c5b097868ea4a7c0cfd01c160b12a39f82042f6'}
{'Amount': '2797.437805175781195776'},{'Address': '0x34aaa3d5a73d6f9594326d0422ce69748f09b14f'}
{'Amount': '2781.487173280709829460'},{'Address': '0x19b560f0e6990711de1383c33ed8d8b0bf1c48ff'}
{'Amount': '2681.252068447728213405'},{'Address': '0xd05f54ea019443f246924d3ecd6703f3e8b949c9'}
{'Amount': '2594.853818513311776055'},{'Address': '0x98b71f1c4469dcb5d4519ca1ea253c5220b48c11'}
{'Amount': '2473.735612603483814698'},{'Address': '0xd973d2bdeb73157bf46a4cabb1a8bbf71ddf0cc0'}
{'Amount': '2323.615079378711272157'},{'Address': '0x0b8093f12293a36ce036d8a68061c844c5b1f87a'}
{'Amount': '2316.739896708041955546'},{'Address': '0x622f40d0e112d98d63af36e9583dcfe15728c931'}
{'Amount': '2278.434970376513765023'},{'Address': '0x2c7121dcbd8e2288cd3e181d2c3b2477527c3e81'}
{'Amount': '2277.816441316812095336'},{'Address': '0x9f9b34c201efe888b02fdcab52422199957a0407'}
{'Amount': '2261.109831217994164451'},{'Address': '0x20f4b1c39fc34404c80f039d3f2733f5887f8e0d'}
{'Amount': '2241.934680501555359337'},{'Address': '0x82daa4f05df9b8ac873c612f5ec7e05ba01c8318'}
{'Amount': '2150.353817674469791390'},{'Address': '0x003f35595dce3187b4fff2b5a2c4303f7158208a'}
{'Amount': '2131.128108084201783296'},{'Address': '0x17ed9ed24f146dd26df2b39ad7cb195e9b50571e'}
{'Amount': '2093.840647588400701775'},{'Address': '0x7ac159f266be93e67c24f91caf18a42be711ed12'}
{'Amount': '2066.497205673383575496'},{'Address': '0x4d2c263623ebd197ad5bf2b1da9ce23977be896d'}
{'Amount': '2011.715208287475764084'},{'Address': '0x14ac79a79909aa55e3a8004ef53c47cc16cf5e9e'}
{'Amount': '2000.000000000000000000'},{'Address': '0xf06c847a4d00a69d675dbaa084c998884dd36ddb'}
