id,space_id,proposal_id,title,start,end,state,author,space_name,scores,scores_total,votes
index-cooperative,index-coop.eth,0xf7bf46dc0009184e394704585daace8f1dd43b62cb64b60aea712d00f58edddd,IIP-102 DG1: Launch the Bankless DeFi Growth Index ($GMI),1636394400,1636653600,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[304392.11988285225, 0]",304392.11988285225,94
index-cooperative,index-coop.eth,0xe3e6f74a3ce4f06213b0e4ac80fa4750917f5b9d67bb57b64208e7e9b0254dd9,IIP-100 DG1: Launch LINK 2x Flexible Leverage Index (LINK2X-FLI),1636394400,1636653600,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[316272.1693685776, 1097.7732289718697]",317369.94259754947,64
index-cooperative,index-coop.eth,QmaF8HkHF7c6u86SVdiZ3BnBRRRp3qzqrHaSo3QWeM6pqt,[COMPOUND-68] ,1636085907,1636426556,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[45688.43692171483, 0]",45688.43692171483,34
index-cooperative,index-coop.eth,QmcLmFvPcHNuYuN8rXkQGMtAW4mxoucJ4ECfxtmKLobBvD,[COMPOUND-67] ,1635903314,1636243964,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[28044.5629903507, 0]",28044.5629903507,38
index-cooperative,index-coop.eth,QmYt65PZBqiAcM8qD6DRQCKgemPAikFgJWPHxxS9yHR5Ae,[UNISWAP-1.9] Add 1 Basis Point Fee Tier,1635864522,1636473102,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[86089.71676716126, 0]",86089.71676716126,54
index-cooperative,index-coop.eth,QmcXqirKXRxp1pSDG36ytWhC1WHCsGk1ZsVxH7yiDMvrAR,"[COMPOUND-66] Risk Parameter Updates for AAVE, LINK, MKR, SUSHI, USDC, and YFI",1635802939,1636143575,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[12270.289386152192, 60]",12330.289386152192,36
index-cooperative,index-coop.eth,0x625cc581a6b7ec394564e436ada135fea1f38dd985ecaaf6a695b6f518c0162e,IIP-99: Update Operations Account Multi-sig #2,1635789600,1636048800,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[226937.59132281668, 60]",226997.59132281668,38
index-cooperative,index-coop.eth,0xbf656da9c6607015e4471974835aaf954433069587b078f92763a847b3c141ac,"IIP-98: Finance Nest and Talent, Ops and Change Working Group",1635789600,1636048800,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[227688.26839074751, 0]",227688.26839074751,44
index-cooperative,index-coop.eth,QmbbpCkypmXYZbBf65N9syoAWsEHXZPo4QgsHapZDC6hZa,[AAVE-44] Disable borrow for xSUSHI and DPI. Freeze reserves for UNI and BAL AMM Markets,1635460879,1635624027,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[18725.20456502799, 77.06931592224655]",18802.27388095024,10
index-cooperative,index-coop.eth,QmRNRvcpubDpuQZseWk1wTJ5EGc8vADF6DYifYJdCDkxRC,[BALANCER] Balancer Grants DAO Wave 2,1635268832,1635681600,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[27942.65613807443, 60]",28002.65613807443,39
index-cooperative,index-coop.eth,QmXzJ3X7taEnG3cMk18gunEvNqJUUeyFbJwJ4Hv6LrkD5h,[AAVE-43] Risk Parameter Updates 2021-10-21,1635203686,1635366885,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[14117.473401959818, 0]",14117.473401959818,21
index-cooperative,index-coop.eth,QmVs198Fptpxem37JbJXbXfo8H9RhdsCKaxcQ1xhc6aKir,[BALANCER] End the BAL for Gas Program,1635188757,1635274800,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[6130.246667912459, 30.71445780039228]",6160.961125712852,14
index-cooperative,index-coop.eth,Qmc7MN1BsWRwADoHqwmXC8vntAbgM7sPHsTwY2cYZ87omT,IIP-97: Authorize the Operations Account for Beta Finance & Rari Capital Strategies,1635184800,1635444000,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[28235.866896564585, 188470.2854159719]",216706.15231253652,44
index-cooperative,index-coop.eth,QmZd8YiEmcvio2AbjzfKJt1FYEvbZU2LUjQr1Swwt3KD2i,[BADGERDAO] BIP 72: Sett Vaults and ibBTC Fee Restructuring,1634909540,1634995800,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[6543.710834171796, 0]",6543.710834171796,9
index-cooperative,index-coop.eth,QmdjPoGA3nFrL3kdVkBUBWDiKuRoDpMvtSgSEH9RaN6Do5,IIP-96: MVI Liquidity Migration to Uniswap v3 with Staking,1634752800,1635012000,closed,0xD7E7bCA98ab9fB25e17ad73429e89A40B55708BE,Index Coop,"[325299.9576112323, 10778.698790330636]",336078.65640156297,45
index-cooperative,index-coop.eth,QmbCJzRtpSWN4H81C1Ws7mJXjpYTPj1JfsAtZgvvDH4Th8,IIP-94: Funding Council Grant #5,1634666400,1634925600,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[302820.4768181423, 16.068623406611458]",302836.54544154886,65
index-cooperative,index-coop.eth,QmcJudcVzrWh22NmFKXmAMP6FugU4beQoAqTwAKLLMa5wQ,[AAVE-42] Risk Parameter Updates 2021-10-14,1634594566,1634757687,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[58835.61224881623, 0]",58835.61224881623,26
index-cooperative,index-coop.eth,QmZVFzHAr8CcrcN2pSgMJ1zrrbt87owbQ1VB2jFfCCP9RF,[BADGERDAO] BIP 71: bCVX to bveCVX transition,1634590023,1634676300,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[7369.939305064989, 0]",7369.939305064989,11
index-cooperative,index-coop.eth,QmTbLrUm4pHX6xXy2WbaDHcNWTGdDQmjEH8X81jaVJFVkH,IIP-93: Product Onboarding Process Improvements,1634580000,1634839200,closed,0xD7E7bCA98ab9fB25e17ad73429e89A40B55708BE,Index Coop,"[357959.10562305566, 2.9019574148474043]",357962.0075804705,65
index-cooperative,index-coop.eth,QmapbbsGeaqs2dU7Up51UXKZdt2jHuCZ7qkaok3apTouS8,Decision Gate 2: Yield Hunter Index ($YHI),1634580000,1634839200,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[112880.68547502428, 244543.38804728625]",357424.07352231035,59
index-cooperative,index-coop.eth,QmS5kdbHkPKs7DCotw2eNQ63cm5WKbAwJiS3KA2zocLdPq,[BALANCER] Sponsor the First Ever Poapathon,1634308534,1634472000,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[2000.3352384732725, 170.60138267699392]",2170.9366211502665,15
index-cooperative,index-coop.eth,QmWb4943NgRZysYyJSvM1VM98rstmoHqa1BR78PKanCTXa,[AAVE-41] Institute a Voting Delay Period,1634264222,1635009809,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[80653.66227105026, 0]",80653.66227105026,39
index-cooperative,index-coop.eth,Qme4RCnpqoRdFP8hDbJf9bSD1xwNU73bbV7RU8PewPBx6h,IIP-92: Meta Governance Committee 2.0 & Election Process,1634061600,1634320800,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[215283.4546543723, 0]",215283.4546543723,43
index-cooperative,index-coop.eth,QmVCw2xE8RU4rJNdPQNpRSGvvadoSgFvVKsLr9TEZ21N6X,[COMPOUND-65] Correct Over-Accrued COMP,1633992187,1634332823,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[16968.582671985838, 0]",16968.582671985838,31
index-cooperative,index-coop.eth,QmPR2ozqX71MxYR9dbCwbjoyqAyo93SvLK2RaMU9Sfz7x4,[AAVE-40] Risk Parameter Updates 2021-10-07,1633992127,1634155287,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[51311.09111154451, 0]",51311.09111154451,24
index-cooperative,index-coop.eth,QmW11v7wH4jftquv4nTf1ecAuhkyiNvnXFS2uGCVoDLL37,[AAVE-39] Risk Parameter Updates for Aave V2 assets,1633392746,1633555945,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[51933.763318441815, 0]",51933.763318441815,32
index-cooperative,index-coop.eth,QmYPKh6oy2YeCtutxtNmSxUQwUaztADJur8YypQn4VGTTp,IIP-90 Removal of Funding Council wallet and hive up into the Operations account,1633370400,1633629600,closed,0xD7E7bCA98ab9fB25e17ad73429e89A40B55708BE,Index Coop,"[265765.3128254329, 0]",265765.3128254329,57
index-cooperative,index-coop.eth,QmVCk8KLaiRS8QCRFdJyHpirAzCNEfRnnD3JXa2veKY2Ng,[COMPOUND-64] Fix COMP Accrual Bug,1633143088,1633483737,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[47902.37931619815, 0]",47902.37931619815,46
index-cooperative,index-coop.eth,QmXvqAyhiachqJdVNVaFCv8vEGXovjJuQhhA1kbsDiBNbs,DG1: Launch the NFT Blue-Chip Index (JPG),1633370400,1633629600,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[55386.008370659794, 0]",55386.008370659794,52
index-cooperative,index-coop.eth,QmbNMSzTBrUDzTFymFZTmZHGA94RU397KLobvvqVydhcat,[COMPOUND-63] Temporarily Disable COMP Rewards,1632978781,1633319430,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[20272.06739472332, 11286.404260895792]",31558.471655619116,34
index-cooperative,index-coop.eth,QmcXEdcHLCHByzJ6n4EzzQAH3bcEBfiAAnb6pfhbNESgpK,DG1: Launch Polygon Diversified Index (PDI),1632938400,1633197600,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[296764.80514339963, 186.49645199134417]",296951.30159539095,82
index-cooperative,index-coop.eth,QmS27iWx16i7d9JjUmHFmTSEr6p69Ypi5bFwQmTAP2WnkY,IIP-87: Transfer FLI Products in Treasury to Operations Account,1632765600,1633024800,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[314271.4289083003, 0]",314271.4289083003,56
index-cooperative,index-coop.eth,QmUGBkQhx4oSH4aVuwN9deY93nd96fvF5GkGjLjEVCVxZ2,IIP-88: Update Operations Account Multi-sig,1632765600,1633024800,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[313981.797071544, 0]",313981.797071544,57
