Address,Amount
0x79e970f953c7cfbbb74e05b6df54f75db4a3cad6,112618.15621483342
0xf92660595bbf1c76071f262e186bd2182815c613,111251.80630700654
0x782b38ce4f21b065d3e932134f347ae9c9a0244b,110915.85809601774
0x841bc0ba1851defc9f46fe5b006aef718161616e,110915.85809601774
0x8c2212a2176147d26470c389cbec1611e15dabb0,110524.19479876336
0x583fe4000dfd828fe6d187eb58b855baa296822d,110524.19479876336
0x006437f9523325287aeeac4c688459044b7e3bea,109138.11348904598
0x6a15110a67b8b43e93c9072d27f45c5f71ac8bd9,109138.11348904598
0x1e26fe447505d58c35c7fbce2f197099c58a06a4,107530.5728195803
0xb96d57a1d9876913afc1ec2f335f610178893553,107510.00603607092
0xc621fd631b03c13f88d9acf07204787c54cfaa78,107500.76494722419
0x4d34c08f9bed000df0fdee895fceca5373b39daf,107483.07932274322
0xbb232089be659a0f6b35c8df67d10c2267e9fc3b,104166.99346348183
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,103148.59284024948
0xe3de5022445ee864cc14c303b09efe3a683632a9,102040.82
0xc0735dc9bd6a7d16826dbce01863970cf3881397,100246.97172908207
0x67435dc8d09f865752f96827360d17e8fd69481a,98004.2884301753
0xfa98226f05b1db1a454d0d4b0dd2efebb80e74d2,97876.46791743385
0x531bb31a7b4b320e16af2c855b9fe0c0b0806ff2,92318.19029924057
0xf86e9f9331fa122d495236df0bab70b66b55e387,92317.99858237259
0x1090cdfd5e7aac76248665d530b0a63d4da3f9a5,84532.8867629548
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,82137.0
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,81000.0
0xef3cb1d826a8940f526b45264be7f47c99770cc2,80738.95096078988
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,80403.59479034787
0x766113055468f3a070e50b341d36dadddb4ad52f,79999.999996
0x326d9f47ba49bbaac279172634827483af70a601,74000.0
0xbebbab058e77b2d76374e1c18e3631db83182433,73228.721195384
0x6bb8e1c775672a92f34b89abe0362e89cd616d1d,72886.3
0x3650cde7403d45f09e34f2d3704ad8e1c02b5c58,71748.23950044351
0xf227494f11fdcfe35b49dcce220928c86c62a571,71743.62878899077
0xbf8dce5bc97da4ad219b2005e6a61d52cf7e69fb,71506.05831640521
0x736fe4555184778765e4a42d181f6dc2b0b7bf3c,71496.0288306678
0x06808e6d257e06236bfe1db74fd62c1f582806af,71493.31944352547
0xb79ae2655a5884e9c474ab9015d662bb825e58ce,71482.86215981822
0x84525d09fc9a0a3978e12a00e684d5cac1f52c79,71480.1527726759
0x5d217dcc8cb22eafec2dbc372d91e2f6dbb80d26,71469.60042275312
0x00a7ba8ae7bca0b10a32ea1f8e2a1da980c6cad2,70785.93249032971
0xc75159987ab5bba7df82684aad12af3123a5f667,68339.09084095384
0x4a65e76be1b4e8dd6ef618277fa55200e3f8f20a,68311.85316923958
0x59a19d8c652fa0284f44113d0ff9aba70bd46fb4,67734.84610865985
0xcffad3200574698b78f32232aa9d63eabd290703,65795.56395027008
0x856119967f81b7335048db3b4afe3d05effd0f9e,63811.136331797825
0x967159c42568a54d11a4761fc86a6089ed42b7ba,63604.75699
0x788c0d59aee802ee615b3db138215862247f5960,63314.910768315014
0x42967fe8f5a4fc9afb31558378b77d61cb8ce56a,62500.0
0x3744da57184575064838bbc87a0fc791f5e39ea2,62207.7191
0x92ea9272b0476174b19a0e0499ff40e24c5ca895,61276.58464324
0xdd14f3b17c08f9183d5390c31280bbb321491bda,60140.37730893656
0xde9e8c5201d7f6d779f5609ec08c896772330148,60000.0
0xc8a59ba261f36dd2d1d27c0337bd4e328f004563,57534.42220909041
0x5d0ce4389bcb2975c80de0c996ad532eb85ba3bc,57533.585626393826
0x46692225bd0c88f901b88fd279a1d59e69e23a3b,57530.809692900635
0x4f21734ad1c41affc712da0ed4a43edd1fc9219b,57530.08718966268
0x7b556f4405120d270a0321ab55cd35b5957cf519,57528.3379712971
0xc82c28a1478de97dc06438690ae19798951b837e,57451.410389697965
0x5fa9ebc0d504429509deccb5c9d2147b4ff8cd26,57449.81327727722
0xb24247d8b7681a2d419ebb8a2796ad385ceac728,57441.90376814592
0xf01e2b33cb2eb0ff45628acebabb5f6daac3849d,57438.44335790098
0x197fdc04553f243b17344534d5cc23fa7bf969f0,57436.61808656299
